project,run_dir,run_start_ts,run_group,env,seed,subgoal,critic_type,gap,wmax,horizon_K,h_a,train_N,train_eval_N,lambda,kappa_b,kappa_d,gamma,batch_size,train_epochs,final_eval_episodes,config_key,duplicate_index,duplicate_count,eval_epoch,eval_n,eval_episodes,eval_score_type,IDM,ACTOR,idm_tasks,actor_tasks,eval_timestamp,eval_source
Pathbridger_flow,20260607_181714_seed0_antmaze-giant-navigate-v0,2026-06-07T18:17:14,FlowGap5TRL_rd_sd_antmaze_giant,antmaze-giant-navigate-v0,0,flow,direct_chunk_trl,5.0,10.0,25,5,4,4,1.0,0.6,0.6,0.99,1024,400,50,proj=Pathbridger_flow|group=FlowGap5TRL_rd_sd_antmaze_giant|env=antmaze-giant-navigate-v0|gap=5.0|wmax=10.0|h=25|train_n=4|lam=1.0|kb=0.6|kd=0.6|subgoal=flow|critic=direct_chunk_trl,1,1,400,4,50,transitive_ratio,0.00,0.00,"1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000",,run_log_final
Pathbridger_flow,20260607_225528_seed0_antmaze-large-navigate-v0,2026-06-07T22:55:28,FlowGap5TRL_rd_sd_antmaze_large,antmaze-large-navigate-v0,0,flow,direct_chunk_trl,5.0,10.0,25,5,4,4,1.0,0.9,0.9,0.99,1024,400,50,proj=Pathbridger_flow|group=FlowGap5TRL_rd_sd_antmaze_large|env=antmaze-large-navigate-v0|gap=5.0|wmax=10.0|h=25|train_n=4|lam=1.0|kb=0.9|kd=0.9|subgoal=flow|critic=direct_chunk_trl,1,1,400,4,50,transitive_ratio,0.31,0.12,"1:0.2600,2:0.1200,3:0.7000,4:0.3000,5:0.1600","1:0.1200,2:0.0000,3:0.3400,4:0.0600,5:0.0800",,run_log_final
Pathbridger_flow,20260608_033008_seed0_antmaze-medium-navigate-v0,2026-06-08T03:30:08,FlowGap5TRL_rd_sd_antmaze_medium,antmaze-medium-navigate-v0,0,flow,direct_chunk_trl,5.0,10.0,25,5,4,4,1.0,0.7,0.7,0.99,1024,400,50,proj=Pathbridger_flow|group=FlowGap5TRL_rd_sd_antmaze_medium|env=antmaze-medium-navigate-v0|gap=5.0|wmax=10.0|h=25|train_n=4|lam=1.0|kb=0.7|kd=0.7|subgoal=flow|critic=direct_chunk_trl,1,1,400,4,50,transitive_ratio,0.00,0.00,"1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000",,run_log_final
Pathbridger_flow,20260608_110811_seed0_puzzle-3x3-play-v0,2026-06-08T11:08:11,tune_g1_p3_w5_g999,puzzle-3x3-play-v0,0,diag_gaussian,trl,1.0,5.0,25,5,1,4,0.5,0.9,0.9,0.999,1024,600,25,proj=Pathbridger_flow|group=tune_g1_p3_w5_g999|env=puzzle-3x3-play-v0|gap=1.0|wmax=5.0|h=25|train_n=1|lam=0.5|kb=0.9|kd=0.9|subgoal=diag_gaussian|critic=trl,1,1,600,4,25,transitive_ratio,0.09,0.05,"1:0.3600,2:0.0400,3:0.0000,4:0.0000,5:0.0400","1:0.2400,2:0.0000,3:0.0000,4:0.0000,5:0.0000",,run_log_final
Pathbridger_flow,20260608_131431_seed0_puzzle-3x3-play-v0,2026-06-08T13:14:31,tune_g1_p3_w5_g995,puzzle-3x3-play-v0,0,diag_gaussian,trl,1.0,5.0,25,5,1,4,0.5,0.9,0.9,0.995,1024,600,25,proj=Pathbridger_flow|group=tune_g1_p3_w5_g995|env=puzzle-3x3-play-v0|gap=1.0|wmax=5.0|h=25|train_n=1|lam=0.5|kb=0.9|kd=0.9|subgoal=diag_gaussian|critic=trl,1,1,600,4,25,transitive_ratio,0.07,0.05,"1:0.1600,2:0.1200,3:0.0400,4:0.0000,5:0.0400","1:0.1600,2:0.0400,3:0.0000,4:0.0400,5:0.0000",,run_log_final
Pathbridger_flow,20260608_152048_seed0_puzzle-3x3-play-v0,2026-06-08T15:20:48,tune_g1_p3_w10_g999,puzzle-3x3-play-v0,0,diag_gaussian,trl,1.0,10.0,25,5,1,4,0.5,0.9,0.9,0.999,1024,600,25,proj=Pathbridger_flow|group=tune_g1_p3_w10_g999|env=puzzle-3x3-play-v0|gap=1.0|wmax=10.0|h=25|train_n=1|lam=0.5|kb=0.9|kd=0.9|subgoal=diag_gaussian|critic=trl,1,1,600,4,25,transitive_ratio,0.06,0.10,"1:0.3200,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.4400,2:0.0000,3:0.0000,4:0.0000,5:0.0800",,run_log_final
Pathbridger_flow,20260608_172657_seed0_puzzle-3x3-play-v0,2026-06-08T17:26:57,tune_g1_p3_w10_g995,puzzle-3x3-play-v0,0,diag_gaussian,trl,1.0,10.0,25,5,1,4,0.5,0.9,0.9,0.995,1024,600,25,proj=Pathbridger_flow|group=tune_g1_p3_w10_g995|env=puzzle-3x3-play-v0|gap=1.0|wmax=10.0|h=25|train_n=1|lam=0.5|kb=0.9|kd=0.9|subgoal=diag_gaussian|critic=trl,1,1,600,4,25,transitive_ratio,0.07,0.02,"1:0.2800,2:0.0400,3:0.0000,4:0.0000,5:0.0400","1:0.0800,2:0.0000,3:0.0000,4:0.0000,5:0.0000",,run_log_final
Pathbridger_flow,20260608_193247_seed0_puzzle-4x4-play-v0,2026-06-08T19:32:47,tune_g1_p4_w5_g999,puzzle-4x4-play-v0,0,diag_gaussian,trl,1.0,5.0,25,5,1,4,2.0,0.9,0.9,0.999,1024,600,25,proj=Pathbridger_flow|group=tune_g1_p4_w5_g999|env=puzzle-4x4-play-v0|gap=1.0|wmax=5.0|h=25|train_n=1|lam=2.0|kb=0.9|kd=0.9|subgoal=diag_gaussian|critic=trl,1,1,600,4,25,transitive_ratio,0.00,0.00,"1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000",,run_log_final
Pathbridger_flow,20260608_214627_seed0_puzzle-4x4-play-v0,2026-06-08T21:46:27,tune_g1_p4_w5_g995,puzzle-4x4-play-v0,0,diag_gaussian,trl,1.0,5.0,25,5,1,4,2.0,0.9,0.9,0.995,1024,600,25,proj=Pathbridger_flow|group=tune_g1_p4_w5_g995|env=puzzle-4x4-play-v0|gap=1.0|wmax=5.0|h=25|train_n=1|lam=2.0|kb=0.9|kd=0.9|subgoal=diag_gaussian|critic=trl,1,1,600,4,25,transitive_ratio,0.00,0.00,"1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000",,run_log_final
Pathbridger_flow,20260609_000006_seed0_puzzle-4x4-play-v0,2026-06-09T00:00:06,tune_g1_p4_w10_g999,puzzle-4x4-play-v0,0,diag_gaussian,trl,1.0,10.0,25,5,1,4,2.0,0.9,0.9,0.999,1024,600,25,proj=Pathbridger_flow|group=tune_g1_p4_w10_g999|env=puzzle-4x4-play-v0|gap=1.0|wmax=10.0|h=25|train_n=1|lam=2.0|kb=0.9|kd=0.9|subgoal=diag_gaussian|critic=trl,1,1,600,4,25,transitive_ratio,0.00,0.00,"1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000","1:0.0000,2:0.0000,3:0.0000,4:0.0000,5:0.0000",,run_log_final
